Publication Type;Authors;Author Full Names;Article Title;Source Title;Abstract;ORCIDs;ISSN;eISSN;Publication Date;Publication Year;Volume;Issue;Start Page;End Page;Article Number;DOI;DOI Link;Number of Pages npx supabase gen types typescript --project-id vgnteswwvallupuanfiz > lib/database.types.ts
J;"Wong, AKC; Lee, JHT; Zhao, Y; Lu, Q; Yang, SL; Hui, VCC";"Wong, Arkers Kwan Ching; Lee, Jessica Hiu Toon; Zhao, Yue; Lu, Qi; Yang, Shulan; Hui, Vivian Chi Ching";Exploring Older Adults' Perspectives and Acceptance of AI-Driven Health Technologies: Qualitative Study;JMIR AGING;"Background: Artificial intelligence (AI) is increasingly being applied in various health care services due to its enhanced efficiency and accuracy. As the population ages, AI-based health technologies could be a potent tool in older adults' health care to address growing, complex, and challenging health needs. This study aimed to investigate perspectives on and acceptability of the use of AI-led health technologies among older adults and the potential challenges that they face in adopting them. The findings from this inquiry could inform the designing of more acceptable and user-friendly AI-based health technologies. Objective: The objectives of the study were (1) to investigate the attitudes and perceptions of older adults toward the use of AI-based health technologies; (2) to identify potential facilitators, barriers, and challenges influencing older adults' preferences toward AI-based health technologies; and (3) to inform strategies that can promote and facilitate the use of AI-based health technologies among older adults. Methods: This study adopted a qualitative descriptive design. A total of 27 community-dwelling older adults were recruited from a local community center. Three sessions of semistructured interviews were conducted, each lasting 1 hour. The sessions covered five key areas: (1) general impressions of AI-based health technologies; (2) previous experiences with AI-based health technologies; (3) perceptions and attitudes toward AI-based health technologies; (4) anticipated difficulties in using AI-based health technologies and underlying reasons; and (5) willingness, preferences, and motivations for accepting AI-based health technologies. Thematic analysis was applied for data analysis. The Theoretical Domains Framework and the Capability, Opportunity, Motivation, and Behavior (COM-B) model behavior change wheel were integrated into the analysis. Identified theoretical domains were mapped directly to the COM-B model to determine corresponding strategies for enhancing the acceptability of AI-based health technologies among older adults. Results: The analysis identified 9 of the 14 Theoretical Domains Framework domains-knowledge, skills, social influences, environmental context and resources, beliefs about capabilities, beliefs about consequences, intentions, goals, and emotion. These domains were mapped to 6 components of the COM-B model. While most participants acknowledged the potential benefits of AI-based health technologies, they emphasized the irreplaceable role of human expertise and interaction. Participants expressed concerns about the usability of AI technologies, highlighting the need for user-friendly and tailored AI solutions. Privacy concerns and the importance of robust security measures were also emphasized as critical factors affecting their willingness to adopt AI-based health technologies. Conclusions: Integrating AI as a supportive tool alongside health care providers, rather than regarding it as a replacement, was highlighted as a key strategy for promoting acceptance. Government support and clear guidelines are needed to promote ethical AI implementation in health care. These measures can improve health outcomes in the older adult population by encouraging the adoption of AI-driven health technologies.";"Hui, Chi Ching Vivian/0000-0003-1966-6139; Wong, Arkers/0000-0001-6708-3099";;2561-7605;;2025;8;;;;e66778;10.2196/66778;http://dx.doi.org/10.2196/66778;
J;"Jabade, M; Kaur, J; Barde, S";"Jabade, Mangesh; Kaur, Jasneet; Barde, Shital";Exploring Digital Health for Effective Geriatric Care;TOPICS IN GERIATRIC REHABILITATION;Innovative methods of geriatric care are required due to the extraordinary challenges that the rapidly aging global population offers to health care systems globally. This study offers an in-depth analysis of digital health solutions designed specifically for older adults, including wearable technology, telemedicine, robotics, artificial intelligence, and remote monitoring. Real-time health tracking with remote monitoring devices allows for early identification of health problems and timely action, improving outcomes and lowering health care expenditures. Telehealth fills the gap in accessibility by offering easy access to medical treatments, especially for older adult patients with limited mobility. Older adults who wear wearable technology can take an active role in their health and provide health care providers with useful real-time data for preventative measures. By encouraging independent living through individualized health care recommendations, social engagement, and automated support, artificial intelligence transforms geriatric care and reduces care giver stress and social isolation. Robots, such as social and assistive robots, help older persons become more independent and feel better overall by offering them emotional and physical support. Digital health technologies have great potential to enhance patient outcomes, encourage healthy aging, and optimize health care delivery when applied to geriatric care. Health care systems may efficiently manage the changing demands of an aging population by adopting these creative solutions, ensuring that older people in the digital age preserve their safety, autonomy, and quality of life.;;0882-7524;1550-2414;APR-JUN;2025;41;2;114;120;;10.1097/TGR.0000000000000469;http://dx.doi.org/10.1097/TGR.0000000000000469;
J;"Abadir, PM; Battle, A; Walston, JD; Chellappa, R";"Abadir, Peter M.; Battle, Alexis; Walston, Jeremy D.; Chellappa, Rama";Enhancing Care for Older Adults and Dementia Patients With Large Language Models: Proceedings of the National Institute on Aging-Artificial Intelligence & Technology Collaboratory for Aging Research Symposium;JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES;Large Language Models (LLMs) stand on the brink of reshaping the field of aging and dementia care, challenging the one-size-fits-all paradigm with their capacity for precision medicine and individualized treatment strategies. The Large Pre-Trained Models with a Focus on AD/ADRD and Healthy Aging symposium, organized by the National Institute on Aging and the Johns Hopkins Artificial Intelligence & Technology Collaboratory for Aging Research, served as a platform for exploring this potential. The symposium brought together diverse experts to discuss the integration of LLMs in aging and dementia care. They highlighted the roles LLMs can play in clinical decision support and predictive analytics, while also addressing critical ethical concerns including bias, privacy, and the responsible use of artificial intelligence (AI). The discussions focused on the need to balance technological advancement with ethical considerations in AI deployment. In conclusion, the symposium projected a future where LLMs not only revolutionize healthcare practices but also pose significant challenges that require careful navigation.;Abadir, Peter/0000-0002-8186-0066;1079-5006;1758-535X;AUG 23;2024;79;9;;;glae176;10.1093/gerona/glae176;http://dx.doi.org/10.1093/gerona/glae176;
J;"Orellana, M; Garc�a, PS; Ramon, GD; Zambrano-Martinez, JL; Pati�o-Le�n, A; Serrano, MV; Cedillo, P";"Orellana, Marcos; Garcia, Patricio Santiago; Ramon, Guillermo Daniel; Zambrano-Martinez, Jorge Luis; Patino-Leon, Andres; Serrano, Maria Veronica; Cedillo, Priscila";Semantic Similarity of Common Verbal Expressions in Older Adults through a Pre-Trained Model;BIG DATA AND COGNITIVE COMPUTING;"Health problems in older adults lead to situations where communication with peers, family and caregivers becomes challenging for seniors; therefore, it is necessary to use alternative methods to facilitate communication. In this context, Augmentative and Alternative Communication (AAC) methods are widely used to support this population segment. Moreover, with Artificial Intelligence (AI), and specifically, machine learning algorithms, AAC can be improved. Although there have been several studies in this field, it is interesting to analyze common phrases used by seniors, depending on their context (i.e., slang and everyday expressions typical of their age). This paper proposes a semantic analysis of the common phrases of older adults and their corresponding meanings through Natural Language Processing (NLP) techniques and a pre-trained language model using semantic textual similarity to represent the older adults' phrases with their corresponding graphic images (pictograms). The results show good scores achieved in the semantic similarity between the phrases of the older adults and the definitions, so the relationship between the phrase and the pictogram has a high degree of probability.";"GARCIA MONTERO, PATRICIO SANTIAGO/0009-0007-4113-8400; Zambrano-Martinez, Jorge Luis/0000-0002-5339-7860; Cedillo, Priscila/0000-0002-6787-0655; Orellana, Marcos/0000-0002-3671-9362; Ramon Cardenas, Daniel/0009-0001-9949-536X";;2504-2289;JAN;2024;8;1;;;3;10.3390/bdcc8010003;http://dx.doi.org/10.3390/bdcc8010003;
J;"Wang, ML; Wang, M";"Wang, Minli; Wang, Min";Regional dialect affects older adults' interaction with computers: Evidence from syntactic alignment in human-computer interaction;INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES;"Artificial intelligence (AI) technologies offer promising approaches to improve quality of life and care for older adults. While most studies focus on older adults' perceptions and challenges in using AI-enabled products, there is limited understanding of how older adults communicate with AI interlocutors and the underlying psychological processes. Investigating this issue, however, holds great implications for the design of senior-friendly AI products. This study investigated whether older adults in human-computer interaction (HCI) tend to use the same grammatical structures (i.e., syntactic alignment) as their computer interlocutor and whether regional dialect-an anthropomorphized, social attribute in computer speech-affects the degree of syntactic alignment in such interactions. The experiment employed a speech-based picture describing and matching task, in which participants and their computer interlocutor took turns to describe and match pictures. The participants, older adults who were proficient in both Mandarin Chinese and Shaanxi dialect (a regional dialect in northwestern China), were randomly assigned to one of two experimental conditions, wherein the computer interlocutor's speech was manipulated. In the Mandarin Chinese condition, participants interacted with a computer interlocutor speaking in Mandarin Chinese; while in the Shaanxi dialect condition, participants interacted with a computer interlocutor speaking in Shaanxi dialect. Results revealed that older adults showed a strong tendency to spontaneously align with their computer interlocutor's grammatical choices in both conditions. Crucially, their likelihood of syntactic alignment significantly increased when the computer interlocutor used regional dialect. These findings suggest a strong social affective engagement in older adults' language imitation in HCI, offering valuable insights for the design of artificial systems that can better meet the psychological and emotional needs of older adults.";;1071-5819;1095-9300;APR;2025;198;;;;103473;10.1016/j.ijhcs.2025.103473;http://dx.doi.org/10.1016/j.ijhcs.2025.103473;
J;Yenisehir, S;Yenisehir, Semiha;Artificial intelligence based on falling in older people: A bibliometric analysis;AGING MEDICINE;ObjectivesThis study aimed to analyze publications on artificial intelligence (AI) for falls in older people from a bibliometric perspective.MethodsThe Web of Science database was searched for titles of English-language articles containing the words artificial intelligence, deep learning, machine learning, natural language processing,, neural artificial network, fall, geriatric, elderly, aging, older, and old age. An R-based application (Biblioshiny for bibliometrics) and VOSviewer software were used for analysis.ResultsThirty-seven English articles published between 2018 and 2024 were included. The year 2023 is the year with the most publications with 16 articles. The most productive research field was Engineering Electrical Electronic with seven articles. The most productive country was the United States, followed by China. The most common words were injuries, people, and risk factors.ConclusionPublications on AI and falls in the elderly are both few in number and the number of publications has increased in recent years. Future research should include relevant analyses in scientific databases, such as Scopus and PubMed. The English-articles based on artificial intelligence and falls in the older people are both few in number. The number of publications has increased in recent years according to technological developments. In future research, relevant analyzes should be conducted in scientific databases, such as Scopus and PubMed.image;Yenisehir, Semiha/0000-0002-3928-2207;;2475-0360;APR;2024;7;2;162;170;;10.1002/agm2.12302;http://dx.doi.org/10.1002/agm2.12302;
J;"Park, S; Kim, B";"Park, Sunhee; Kim, Beomsoo";The impact of everyday AI-based smart speaker use on the well-being of older adults living alone;TECHNOLOGY IN SOCIETY;"This study examined the association between the use of AI speakers and depression and loneliness in older adults living alone. Secondary data based on the AI Care Service project conducted by the local government in South Korea were used. A total of 291 older adults living alone (M = 76.69, SD = 5.83; 73.9% female) were included in this longitudinal analysis in two waves: at the NUGU Candle speaker launch and two months later. Generalized estimating equations were applied to explore changes in depression and loneliness over time between frequent and intermittent users. AI-based smart speaker use was associated with decreased depression and loneliness. Depression change over time was significant in both frequent and intermittent users. Loneliness improved at follow-up in frequent users. AI speaker use frequency and its effects on depression and loneliness in older adults living alone should be considered in future psychological interventions.";Park, Sunhee/0000-0003-4482-6085;0160-791X;1879-3274;NOV;2022;71;;;;102133;10.1016/j.techsoc.2022.102133;http://dx.doi.org/10.1016/j.techsoc.2022.102133;
J;"Boo, S; Oh, H";"Boo, Sunjoo; Oh, Hyunjin";Perceptions of registered nurses on facilitators and barriers of implementing the AI-IoT-based healthcare pilot project for older adults during the COVID-19 pandemic in South Korea;FRONTIERS IN PUBLIC HEALTH;Objective: This study explored the perceptions of registered nurses on the facilitators and barriers to implementing an AI/IoT (Artificial Intelligence/Internet of Things)-based healthcare pilot project, designed to prevent frailty and improve health behaviors by providing Bluetooth-enabled smart devices (including blood pressure and blood glucose meters) for the older adults aged over 65 years and above in South Korea.Methods: Using a qualitative descriptive methodology, interviews and qualitative surveys were conducted with 15 registered nurses from 11 public health centers. Data were analyzed using qualitative content analysis.Results: The study found that the AI center dot IoT-based healthcare pilot project was well received by participants, leading to increased client satisfaction and improved health behaviors. Government support and funding were crucial facilitators of project implementation. However, technical challenges and disparities in digital literacy among older adults pose significant barriers.Conclusion: The findings highlight the potential of AI center dot IoT technologies in improving the healthcare of older adults. Efforts to address technological challenges and enhance digital literacy among vulnerable populations are necessary for successfully implementing such interventions. Government support and ongoing training for healthcare professionals can help optimize the AI center dot IoT-based healthcare services for older adults.;;;2296-2565;OCT 10;2023;11;;;;1234626;10.3389/fpubh.2023.1234626;http://dx.doi.org/10.3389/fpubh.2023.1234626;
J;"Wang, SS; Lighthall, NR";"Wang, Shensheng; Lighthall, Nichole R.";The Role of Age-Related Changes to Memory in Social Judgment and Decision Making Involving Artificial Social Agents;EUROPEAN PSYCHOLOGIST;Research links a progressive decrement in episodic memory to deficits in judgment and decision making in aging. In social decision making, decrements in episodic memory contribute to suboptimal decisions among older adults. As artificial agents - such as humanoid robots, artificial intelligence (AI)-powered deepfakes, and chatbots - become increasingly present in human society, they can both benefit (e.g., combat loneliness) and harm (e.g., defraud) older adults. Understanding how older adults make social judgments and decisions involving artificial agents is crucial for research and policy making. Nevertheless, it remains poorly understood how episodic memory deficits influence social judgments and decisions involving artificial agents, and how this relation changes with age. This review will bridge this gap by applying a developmental model to explain how memory influences social judgments and decisions involving artificial agents in late adulthood. Evidence suggests that older adults increasingly rely on gist-based processing, which may explain their greater preference for humanoid robots compared with younger adults. We will also discuss the distinct challenges deepfakes pose for older adults' trust-related decision making. In closing, we will discuss the implications of age-related memory changes for social judgments and decisions involving disembodied artificial agents, such as chatbots.;Lighthall, Nichole/0000-0002-8131-8373;1016-9040;1878-531X;OCT;2024;29;4;257;269;;10.1027/1016-9040/a000535;http://dx.doi.org/10.1027/1016-9040/a000535;
J;"Zhang, S; Wu, L; Zhao, Z; Mass�, JRF; Chen, M";"Zhang, S.; Wu, L.; Zhao, Z.; Masso, J. R. Fernandez; Chen, M.";Artificial Intelligence in Gerontology: Data-Driven Health Management and Precision Medicine;ADVANCES IN GERONTOLOGY;As the global population ages, healthcare systems face increasing challenges in managing the complex health needs of older adults, including multimorbidity, cognitive decline, and frailty. Artificial intelligence (AI) holds significant potential to address these challenges by offering advanced tools for personalized health management, disease prediction, and real-time monitoring. This paper reviews key AI applications in gerontology, focusing on its role in analyzing multimodal data such as electronic health records, genomic data, medical imaging, and wearable device metrics. AI's ability to integrate and analyze these diverse data types enhances the precision of disease management and treatment personalization, particularly in chronic disease care and cognitive function assessment. However, challenges related to data quality, privacy concerns, and model interpretability remain. This review highlights both the transformative potential and the limitations of AI in elderly healthcare, advocating for future research aimed at improving model transparency, scalability, and interdisciplinary integration to enhance geriatric care.;;2079-0570;2079-0589;SEP;2024;14;3;97;110;;10.1134/S2079057024600691;http://dx.doi.org/10.1134/S2079057024600691;
J;"Kawashima, D; Kempe, T; Koga, Y; Kubota, S; Urata, Y; Watanabe, T; Kondo-Arita, M; Tsujimoto, T";"Kawashima, Daisuke; Kempe, Tomomi; Koga, Yoshiki; Kubota, Sayaka; Urata, Yu; Watanabe, Terumi; Kondo-Arita, Megumi; Tsujimoto, Tai";Attitudes Toward Digital Immortality and Related Factors Among Older Adults: An Exploratory Study From a Developmental Perspective;OMEGA-JOURNAL OF DEATH AND DYING;Recent advances in artificial intelligence-based resurrection technologies may impact our perspectives on life and death. However, empirical research on this subject is currently limited. Therefore, we investigated attitudes toward digital immortality and their association with psychosocial developmental features, such as ego-integrity and gerotranscendence, among Japanese older adults. A total of 296 older Japanese adults completed a questionnaire. Results revealed that only 8% of the participants wished to be virtually resurrected after death. We also confirmed the stable factor structure of attitudes toward digital immortality and its significant correlation with death attitudes. Finally, we found that the desire for digital immortality was not only negatively correlated with ego-integrity, awareness of arigatasa, and positive attitudes toward being alone but also positively associated with religious attitudes and basic affirmations. The desire for digital immortality was relatively low among older Japanese adults and was indeed related to psychosocial developmental features of ego-integrity and gerotranscendence.;;0030-2228;1541-3764;2025 APR 21;2025;;;;;;10.1177/00302228251336498;http://dx.doi.org/10.1177/00302228251336498;
J;"Abdulrazak, B; Ahmed, HM; Aloulou, H; Mokhtari, M; Blanchet, FG";"Abdulrazak, Bessam; Ahmed, Hassan Mostafa; Aloulou, Hamdi; Mokhtari, Mounir; Blanchet, F. Guillaume";IoT in medical diagnosis: detecting excretory functional disorders for Older adults via bathroom activity change using unobtrusive IoT technology;FRONTIERS IN PUBLIC HEALTH;The Internet of Things (IoT) and Artificial Intelligence (AI) are promising technologies that can help make the health system more efficient, which concurrently can be particularly useful to help maintain a high quality of life for older adults, especially in light of healthcare staff shortage. Many health issues are challenging to manage both by healthcare staff and policymakers. They have a negative impact on older adults and their families and are an economic burden to societies around the world. This situation is particularly critical for older adults, a population highly vulnerable to diseases that needs more consideration and care. It is, therefore, crucial to improve diagnostic and management as well as proposed prevention strategies to enhance the health and quality of life of older adults. In this study, we focus on detecting symptoms in early stages of diseases to prevent the deterioration of older adults' health and avoid complications. We focus on digestive and urinary system disorders [mainly the Urinary Tract Infection (UTI) and the Irritable Bowel Syndrome (IBS)] that are known to affect older adult populations and that are detrimental to their health and quality of life. Our proposed approach relies on unobtrusive IoT and change point detections algorithms to help follow older adults' health status daily. The approach monitors long-term behavior changes and detects possible changes in older adults' behavior suggesting early onsets or symptoms of IBS and UTI. We validated our approach with medical staff reports and IoT data collected in the residence of 16 different older adults during periods ranging from several months to a few years. Results are showing that our proposed approach can detect changes associated to symptoms of UTI and IBS, which were confirmed with observations and testimonies from the medical staff.;;;2296-2565;SEP 29;2023;11;;;;1161943;10.3389/fpubh.2023.1161943;http://dx.doi.org/10.3389/fpubh.2023.1161943;
J;"Timon, CM; Heffernan, E; Kilcullen, SM; Lee, H; Hopper, L; Quinn, J; McDonald, D; Gallagher, P; Smeaton, AF; Moran, K; Hussey, P; Murphy, C";"Timon, Claire M.; Heffernan, Emma; Kilcullen, Sophia M.; Lee, Hyowon; Hopper, Louise; Quinn, Joe; McDonald, David; Gallagher, Pamela; Smeaton, Alan F.; Moran, Kieran; Hussey, Pamela; Murphy, Catriona";Development of an Internet of Things Technology Platform (the NEX System) to Support Older Adults to Live Independently: Protocol for a Development and Usability Study;JMIR RESEARCH PROTOCOLS;Background: In a rapidly aging population, new and efficient ways of providing health and social support to older adults are required that not only preserve independence but also maintain quality of life and safety. Objective: The NEX project aims to develop an integrated Internet of Things system coupled with artificial intelligence to offer unobtrusive health and wellness monitoring to support older adults living independently in their home environment. The primary objective of this study is to develop and evaluate the technical performance and user acceptability of the NEX system. The secondary objective is to apply machine learning algorithms to the data collected via the NEX system to identify and eventually predict changes in the routines of older adults in their own home environment. Methods: The NEX project commenced in December 2019 and is expected to be completed by August 2022. Mixed methods research (web-based surveys and focus groups) was conducted with 426 participants, including older adults (aged >= 60 years), family caregivers, health care professionals, and home care workers, to inform the development of the NEX system (phase 1). The primary outcome will be evaluated in 2 successive trials (the Friendly trial [phase 2] and the Action Research Cycle trial [phase 3]). The secondary objective will be explored in the Action Research Cycle trial (phase 3). For the Friendly trial, 7 older adult participants aged >= 60 years and living alone in their own homes for a 10-week period were enrolled. A total of 30 older adult participants aged >= 60 years and living alone in their own homes will be recruited for a 10-week data collection period (phase 3). Results: Phase 1 of the project (n=426) was completed in December 2020, and phase 2 (n=7 participants for a 10-week pilot study) was completed in September 2021. The expected completion date for the third project phase (30 participants for the 10-week usability study) is June 2022. Conclusions: The NEX project has considered the specific everyday needs of older adults and other stakeholders, which have contributed to the design of the integrated system. The innovation of the NEX system lies in the use of Internet of Things technologies and artificial intelligence to identify and predict changes in the routines of older adults. The findings of this project will contribute to the eHealth research agenda, focusing on the improvement of health care provision and patient support in home and community environments.;"Smeaton, Alan F./0000-0003-1028-8389; Quinn, Joe/0000-0001-9799-1717; Gallagher, Pamela/0000-0001-5558-1269; Timon, Claire M/0000-0002-5778-6003; Hussey, Pamela/0000-0003-2840-9361; Moran, Kieran/0000-0003-2015-8967";1929-0748;;MAY;2022;11;5;;;e35277;10.2196/35277;http://dx.doi.org/10.2196/35277;
J;"Wei, MQ; Meng, DY; Guo, HZ; He, SC; Tian, ZB; Wang, ZY; Yang, G; Wang, ZH";"Wei, Meiqi; Meng, Deyu; Guo, Hongzhi; He, Shichun; Tian, Zhibo; Wang, Ziyi; Yang, Guang; Wang, Ziheng";Hybrid Exercise Program for Sarcopenia in Older Adults: The Effectiveness of Explainable Artificial Intelligence-Based Clinical Assistance in Assessing Skeletal Muscle Area;INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH;Background: Sarcopenia is a geriatric syndrome characterized by decreased skeletal muscle mass and function with age. It is well-established that resistance exercise and Yi Jin Jing improve the skeletal muscle mass of older adults with sarcopenia. Accordingly, we designed an exercise program incorporating resistance exercise and Yi Jin Jing to increase skeletal muscle mass and reverse sarcopenia in older adults. Additionally, machine learning simulations were used to predict the sarcopenia status after the intervention. Method: This randomized controlled trial assessed the effects of sarcopenia in older adults. For 24 weeks, 90 older adults with sarcopenia were divided into intervention groups, including the Yi Jin Jing and resistance training group (YR, n = 30), the resistance training group (RT, n = 30), and the control group (CG, n = 30). Computed tomography (CT) scans of the abdomen were used to quantify the skeletal muscle cross-sectional area at the third lumbar vertebra (L3 SMA). Participants' age, body mass, stature, and BMI characteristics were analyzed by one-way ANOVA and the chi-squared test for categorical data. This study explored the improvement effect of three interventions on participants' L3 SMA, skeletal muscle density at the third lumbar vertebra (L3 SMD), skeletal muscle interstitial fat area at the third lumbar vertebra region of interest (L3 SMFA), skeletal muscle interstitial fat density at the third lumbar vertebra (L3 SMFD), relative skeletal muscle mass index (RSMI), muscle fat infiltration (MFI), and handgrip strength. Experimental data were analyzed using two-way repeated-measures ANOVA. Eleven machine learning models were trained and tested 100 times to assess the model's performance in predicting whether sarcopenia could be reversed following the intervention. Results: There was a significant interaction in L3 SMA (p < 0.05), RSMI (p < 0.05), MFI (p < 0.05), and handgrip strength (p < 0.05). After the intervention, participants in the YR and RT groups showed significant improvements in L3 SMA, RSMI, and handgrip strength. Post hoc tests showed that the YR group (p < 0.05) yielded significantly better L3 SMA and RSMI than the RT group (p < 0.05) and CG group (p < 0.05) after the intervention. Compared with other models, the stacking model exhibits the best performance in terms of accuracy (85.7%) and F1 (75.3%). Conclusion: One hybrid exercise program with Yi Jin Jing and resistance exercise training can improve skeletal muscle area among older adults with sarcopenia. Accordingly, it is possible to predict whether sarcopenia can be reversed in older adults based on our stacking model.;"deyu, Meng/0000-0002-3270-9829; Yang, Guang/0000-0001-7236-7483; Wei, Meiqi/0009-0003-8299-6242; /0000-0002-3454-9929; wang, ziyi/0009-0006-8253-8614; Wang, Ziheng/0000-0002-3953-0493";;1660-4601;AUG;2022;19;16;;;9952;10.3390/ijerph19169952;http://dx.doi.org/10.3390/ijerph19169952;
J;"Dong, X; Xie, J; Gong, H";"Dong, Xu; Xie, Jun; Gong, He";A Meta-Analysis of Artificial Intelligence Technologies Use and Loneliness: Examining the Influence of Physical Embodiment, Age Differences, and Effect Direction;CYBERPSYCHOLOGY BEHAVIOR AND SOCIAL NETWORKING;Recent research has investigated the connection between artificial intelligence (AI) utilization and feelings of loneliness, yielding inconsistent outcomes. This meta-analysis aims to clarify this relationship by synthesizing data from 47 relevant studies across 21 publications. Findings indicate a generally significant positive correlation between AI use and loneliness (r = 0.163, p < 0.05). Specifically, interactions with physically embodied AI are marginally significantly associated with decreased loneliness (r = -0.266, p = 0.088), whereas engagement with physically disembodied AI is significantly linked to increased loneliness (r = 0.352, p < 0.001). Among older adults (aged 60 and above), AI use is significantly positively associated with loneliness (r = 0.352, p < 0.001), while no significant correlation is observed (r = 0.039, p = 0.659) in younger individuals (aged 35 and below). Furthermore, by incorporating positive attitudes toward AI, the study reveals that the influence of AI use in exacerbating loneliness outweighs the reverse impact, although both directions show significant positive relationships. These results enhance the understanding of how AI usage relates to loneliness and provide practical insights for addressing loneliness through AI technologies.;/0009-0001-4943-6660;2152-2715;2152-2723;APR 1;2025;28;4;233;242;;10.1089/cyber.2024.0468;http://dx.doi.org/10.1089/cyber.2024.0468;
J;"Lim, PC; Chong, YW; Chie, QT; Zainal, H; Yau, KLA; Teoh, SH";"Lim, Phei-Ching; Chong, Yung-Wey; Chie, Qiu-Ting; Zainal, Hadzliana; Yau, Kok-Lim Alvin; Teoh, Soo-Huat";Healthcare professionals' perspectives on artificial intelligence (AI)-based mobile applications (apps) for diabetes education and behavioural management;DIGITAL HEALTH;Background The global prevalence of diabetes mellitus is escalating rapidly. Similarly in Malaysia, diabetes prevalence among adults rose exponentially. Artificial intelligence (AI) integrated into mobile health applications (apps) presents a promising avenue for enhancing diabetes management through personalized patient education and behaviour modification. However, adoption rates remain low, primarily due to limited awareness and technological challenges, especially among older adults.Objective This study aimed to explore Malaysian healthcare professionals' (HCPs') perspectives on the use of AI in mobile apps for diabetes education and behavioural management.Methods Qualitative study using semi-structured interviews with 19 HCPs across Malaysia. Interviews were conducted via video conferencing, recorded, transcribed, and analysed using thematic analysis with NVivo 14 software.Results Seven key themes emerged: (1) acceptance and trust, (2) impact on patient behaviour, (3) skills and abilities required, (4) problems and obstacles, (5) key features and functions, (6) HCPs' and patients' information needs, and (7) strategies for increasing patient adoption. HCPs expressed positive sentiments towards AI-based apps, highlighting their potential for continuous, personalized education and real-time feedback. However, significant concerns were raised about accessibility for older adults, data privacy, and the apps' ability to modify entrenched behaviours without human intervention.Conclusion AI-based mobile apps show potential for improving diabetes management, but successful implementation requires addressing challenges. Strategies should focus on developing user-friendly interfaces, providing comprehensive education for patients and providers, and ensuring robust data protection. Future research should quantify the impact on patient outcomes and explore effective integration of human support with AI capabilities.;;2055-2076;;;2025;11;;;;2,05521E+16;10.1177/20552076251329991;http://dx.doi.org/10.1177/20552076251329991;
J;"Gao, Y; Liang, JH; Xu, ZB";"Gao, Yuan; Liang, Jiahui; Xu, Zhengbing";Digital social media expression and social adaptability of the older adult driven by artificial intelligence;FRONTIERS IN PUBLIC HEALTH;Introduction This study examines the impact of digital new media art on the health literacy and digital health literacy of older adults. It explores how digital new media art influences the social adaptability of the older adult, with a focus on variations in their engagement with digital technologies and community activities.Methods The research employed interviews and observations of older adult participants from communities A and B. Data were collected on their smartphone usage, community engagement, and access to technological infrastructure. The study also assessed their interaction with digital new media across various domains, including interpersonal communication, information retrieval, entertainment, practical applications, and mobile payments.Results The study found significant differences in engagement with digital new media art among the older adult. Participants with prior computer experience were generally more skilled in using smartphones and more active in community events. In contrast, individuals in community B showed lower acceptance of digital new media art and no clear association with community participation. There was substantial variability in their use of digital media for information retrieval, entertainment, practical applications, and mobile payments. Some older adult individuals demonstrated proficiency with these technologies, while others were more reserved.Discussion The findings suggest that digital new media art can enhance community participation and social adaptability among older adults, particularly those with prior computer experience. However, disparities in digital media usage highlight the need for targeted interventions to improve digital health literacy and engagement across different community settings. The study underscores the importance of addressing these disparities to ensure that all older adults can benefit from digital advancements, thereby improving their overall well-being and health literacy.;;;2296-2565;AUG 29;2024;12;;;;1424898;10.3389/fpubh.2024.1424898;http://dx.doi.org/10.3389/fpubh.2024.1424898;
